complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,Found keyword: lamp,
KM-202402,Road Damage,Standard,Found keyword: road,
KM-202405,Other,Standard,Unable to determine category from description,NEEDS_REVIEW
KM-202409,Pothole,Standard,Found keyword: pothole,
KM-202410,Pothole,Standard,Found keyword: pothole,
KM-202411,Pothole,Standard,Found keyword: pothole,
KM-202415,Road Damage,Standard,Found keyword: road,
KM-202418,Waste,Standard,Found keyword: waste,
KM-202421,Other,Standard,Unable to determine category from description,NEEDS_REVIEW
KM-202422,Road Damage,Standard,Found keyword: road,
KM-202426,Heritage Damage,Standard,Found keyword: heritage,
KM-202430,Road Damage,Standard,Found keyword: road,
KM-202434,Heritage Damage,Standard,Found keyword: heritage,
KM-202436,Other,Standard,Unable to determine category from description,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,Found keyword: heritage,
